Date, Open, High, Low, Close
07/04/2021,58256,58633,55460,56097
14/08/2024,60858,61664,58757,58913
14/07/2015,289,297,286,290
08/01/2015,297,299,282,290
13/07/2017,2400,2417,2316,2338
14/09/2017,3842,3951,3251,3362
29/04/2019,5143,5188,5078,5154
08/09/2018,6419,6460,6137,6178
21/08/2018,6448,6477,6234,6434
03/10/2018,6531,6544,6399,6434
27/04/2020,7660,7797,7593,7714
09/03/2018,9391,9459,8375,8994
02/11/2022,20447,20798,20107,20258
09/06/2023,26544,26772,26312,26402
15/01/2025,96496,100707,96289,99618
21/02/2024,52018,52509,50677,50978
14/07/2024,58647,60391,58316,59938
06/11/2021,61152,61582,60138,61218
15/07/2015,290,294,287,291
16/03/2015,286,295,285,291
29/07/2015,296,297,288,291
06/02/2019,3425,3442,3339,3363
13/07/2018,6176,6335,6081,6179
20/11/2017,8037,8275,7957,8227
03/11/2022,20258,20383,20050,20259
13/06/2023,25825,26406,25720,25891
04/04/2023,28087,28430,27273,28195
10/06/2022,29982,30324,28850,28963
18/01/2021,36061,37400,34791,36131
09/09/2024,54343,57167,54196,57123
26/10/2021,62662,63277,61826,61987
16/04/2024,63371,63876,61727,62755
09/03/2015,275,293,273,292
26/07/2015,289,294,288,292
01/04/2019,4096,4148,4055,4132
09/10/2020,10890,11108,10839,11044
02/03/2018,11037,11151,10778,11044
22/10/2020,12703,13244,12701,13092
04/12/2020,19383,19554,18710,18980
30/09/2022,19406,20171,19193,19492
16/01/2023,20908,21430,20633,21284
17/11/2024,90799,91428,89432,89636
08/04/2023,27920,28165,27868,27940
23/11/2024,99292,99489,97256,97828
06/09/2021,50702,52217,50663,51748
10/07/2015,270,295,269,293
29/05/2016,500,555,499,549
17/02/2017,1038,1061,1032,1061
28/04/2017,1333,1367,1300,1317
02/01/2019,3724,3883,3712,3877
23/10/2017,5872,6049,5651,5925
21/10/2018,6399,6451,6399,6437
25/08/2020,11747,11784,11120,11301
17/07/2022,21180,21652,20834,21029
18/01/2022,42132,42429,41303,41765
11/01/2022,41712,43106,41300,42789
09/01/2015,290,294,280,294
25/10/2015,281,296,280,294
11/07/2015,293,299,283,294
16/10/2018,6390,6491,6362,6438
10/12/2019,7303,7389,7166,7206
03/04/2018,6978,7509,6900,7462
01/03/2020,8657,8748,8416,8486
10/09/2020,10287,10488,10185,10278
08/08/2019,11769,12064,11476,11558
29/11/2020,17697,18241,17541,18214
28/03/2023,26970,27502,26669,27430
02/05/2023,27847,28891,27684,28710
16/09/2024,59891,59941,57518,57894
17/03/2021,55764,58246,54193,57894
19/09/2024,60069,63868,59543,63270
27/07/2015,292,296,286,295
03/01/2015,315,315,293,295
20/02/2017,1053,1065,1044,1063
06/06/2017,2637,2930,2637,2855
07/06/2019,7599,8129,7584,7975
02/06/2020,9573,10383,9292,9511
07/03/2018,10641,10892,9442,9767
12/11/2020,15734,16213,15482,16167
31/07/2022,23933,24175,23421,23847
23/02/2022,37935,39250,37435,37671
05/03/2022,39511,39626,38594,39463
15/03/2022,38802,39893,38170,39719
29/12/2023,42521,43121,41689,42023
28/07/2015,295,297,294,296
27/10/2015,284,298,284,296
10/03/2015,292,303,287,296
15/05/2024,61553,66450,61334,66088
06/07/2017,2617,2623,2581,2600
08/02/2019,3359,3707,3344,3624
23/02/2019,3931,4154,3913,4136
06/04/2019,5015,5236,4971,5160
14/11/2018,6294,6294,5309,5416
24/06/2018,6150,6252,5780,6184
11/02/2018,8200,8590,7853,8232
06/02/2020,9675,9852,9531,9768
05/09/2019,10714,10827,10466,10536
18/02/2018,10785,11296,10166,10792
10/08/2019,11809,11967,11208,11304
14/08/2020,11521,11860,11521,11816
03/12/2022,17035,17146,16907,16936
30/01/2024,43158,43834,43077,43560
01/09/2021,47321,49096,46542,48168
21/03/2024,65693,68188,64869,65320
12/03/2015,297,298,292,297
11/03/2015,296,299,290,297
